,CEOsalary,admin_exp,gov_grant,liab_to_assets,mkting_exp,name,perc_admin_exp,perc_fundraising_exp,perc_program_exp,prog_rev,program_exp_growth,revenue,service_rev,state,tpscore,url,wking_cap_ratio,yr_founded
0,"$136,400","$88,924",$0,  1.3%,"$161,060",Greenville Humane Society,  3.5%,  3.4%, 93.0%,"$4,697,776", 11.4%,"$2,597,817","$2,099,959",SC,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7978,2.19,1949
1,"$57,468","$105,750",$0,  3.0%,"$153,331",Heartland Humane Society, 12.8%, 12.2%, 74.8%,"$640,305",  1.9%,"$431,075","$209,230",OR,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6414,1.61,1973
2,"$73,600","$136,868",$0,  6.1%,"$100,919",Purrfect Pals, 12.3%,  7.0%, 80.6%,"$1,270,373",  5.6%,"$1,270,373",$0,WA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17373,1.12,1991
3,"$73,331","$363,768",$0,  4.0%,"$141,286",Ramona Humane Society, 12.9%,  5.1%, 81.9%,"$2,119,091",  2.0%,"$324,098","$1,794,993",CA,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5156,1.35,1974
4,"$113,512","$313,764","$30,000",  0.5%,"$109,598",Rancho Coastal Humane Society, 12.4%,  2.7%, 84.7%,"$2,945,273", 14.3%,"$1,937,955","$1,007,318",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7473,2.73,1967
5,"$102,019","$235,568",$0,  1.1%,"$199,673",RedRover, 11.1%,  9.5%, 79.2%,"$3,263,685", 14.8%,"$3,243,135","$20,550",CA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7707,3.33,1992
6,"$201,942","$568,189",$0, 18.4%,"$430,366",Richmond SPCA,  9.1%,  7.3%, 83.4%,"$5,121,242",  5.8%,"$3,689,605","$1,431,637",VA,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5485,6.04,1942
7,"$81,935","$153,015",$600,  0.8%,"$98,197",Roanoke Valley SPCA, 16.4%,  9.7%, 73.7%,"$1,907,237", -10.1%,"$1,760,229","$147,008",VA,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8277,3.40,1958
8,"$130,917","$588,581",$0,  4.8%,"$935,606",Sacramento SPCA,  7.3%, 12.4%, 80.2%,"$8,325,068",  -4.6%,"$6,413,487","$1,911,581",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5793,1.67,1957
9,"$337,055","$889,063",$0,  2.4%,"$1,538,002",Helen Woodward Animal Center,  9.9%, 16.7%, 73.3%,"$9,661,157", 10.2%,"$5,248,245","$4,412,912",CA,81,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3812,2.84,1972
10,"$125,851","$121,486",$0, 18.0%,"$169,477",Helping Hands: Monkey Helpers,  7.3%,  6.3%, 86.3%,"$1,101,236",  2.3%,"$1,101,236",$0,MA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12495,2.39,1983
11,"$332,160","$1,607,401",$0, 21.5%,"$2,990,520",The Seeing Eye,  6.2%, 10.0%, 83.7%,"$17,045,413",  3.5%,"$16,938,688","$106,725",NJ,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4460,8.40,1935
12,"$87,239","$138,186",$0,  0.3%,"$64,284",Sioux Falls Area Humane Society,  8.8%,  5.3%, 85.7%,"$928,633",  8.0%,"$505,600","$423,033",SD,73,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5362,19.27,1965
13,"$94,048","$128,636",$0,  2.0%,"$117,848",Society for the Improvement of Conditions for Stray Animals,  9.0%,  5.8%, 85.0%,"$2,015,012", 11.7%,"$1,684,294","$330,718",OH,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6093,3.32,1974
14,"$259,402","$769,994",$0,  2.6%,"$1,062,465",Southeastern Guide Dogs,  9.5%, 11.5%, 78.9%,"$17,773,743",  3.4%,"$17,773,743",$0,FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8896,5.44,1983
15,"$27,223","$93,467",$0,  1.0%,"$108,553",Southern Oregon Humane Society, 10.7%, 12.5%, 76.6%,"$1,084,414",  5.6%,"$822,842","$261,572",OR,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8135,3.13,1953
16,"$70,000","$155,497","$143,834", 20.4%,"$81,229",Spartanburg Humane Society, 11.5%,  7.0%, 81.3%,"$1,987,219",  -8.9%,"$1,584,535","$402,684",SC,81,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12753,1.12,1964
17,"$148,396","$362,760",$0, 32.6%,"$393,016","Spay-Neuter Assistance Program, Inc.",  5.7%,  6.4%, 87.8%,"$4,868,965",  9.5%,"$617,887","$4,251,078",TX,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7337,0.19,1999
18,"$135,002","$608,783",$0,  2.1%,"$276,129",Providence Animal Center, 22.8%,  7.9%, 69.1%,"$3,574,574", 10.9%,"$2,253,937","$1,320,637",PA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16389,3.44,1971
19,"$73,748","$154,995",$0,  2.2%,"$199,251",Providence Animal Rescue League, 13.4%, 14.1%, 72.4%,"$628,223",  6.6%,"$420,659","$207,564",RI,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7554,2.75,1938
20,"$249,750","$188,572",$0,  0.6%,"$110,983",Puppies Behind Bars,  8.3%,  6.4%, 85.2%,"$2,798,796",  9.8%,"$2,677,804","$120,992",NY,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8403,5.11,1998
21,"$74,529","$222,311",$0,  1.8%,"$146,515",Save-A-Pet Adoption Center, 11.9%,  7.7%, 80.2%,"$1,413,393",  6.9%,"$1,306,929","$106,464",IL,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6858,2.31,1973
22,"$159,463","$755,722",$0,  2.0%,"$921,601",Seattle Humane, 10.3%, 12.9%, 76.6%,"$17,153,558",  5.8%,"$16,058,636","$1,094,922",WA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5757,4.82,1972
23,"$121,203","$163,926",$0,  7.4%,"$234,501",Pet Alliance of Greater Orlando,  3.8%,  3.3%, 92.8%,"$5,976,462",  2.8%,"$1,449,721","$4,526,741",FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5557,0.80,1971
24,"$103,962","$279,458","$43,500", 32.1%,"$325,803",Pet Helpers, 11.2%,  8.7%, 80.0%,"$1,804,431",  4.0%,"$1,387,937","$416,494",SC,81,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11391,1.96,1986
25,"$78,463","$262,303",$0, 21.2%,"$379,182",PetAid Colorado, 12.9%, 20.9%, 66.1%,"$1,698,115",  6.2%,"$1,698,115",$0,CO,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14240,1.12,2002
26,"$74,083","$31,756",$0,< 0.1%,"$79,661",Petfinder Foundation,  3.4%,  5.9%, 90.6%,"$1,275,207", -10.8%,"$1,275,207",$0,AZ,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13219,1.51,2003
27,"$156,000","$193,200",$0,  9.0%,"$154,695",Pets in Need,  9.9%, 10.3%, 79.6%,"$1,458,201",  5.1%,"$1,366,534","$91,667",CA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6450,4.92,1967
28,"$123,152","$185,425",$0,  3.6%,"$294,415",Placer SPCA,  6.8%, 11.6%, 81.5%,"$3,025,461",  1.5%,"$1,998,544","$1,026,917",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6547,3.96,1977
29,"$37,800","$118,282",$0,  4.8%,"$134,746",The Pope Memorial SPCA of Concord-Merrimack County, 14.0%, 14.4%, 71.5%,"$707,091", 12.6%,"$529,845","$177,246",NH,74,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14614,4.16,1969
30,"$95,429","$212,420",$0,  0.8%,"$309,924",Potter League for Animals,  9.4%, 15.7%, 74.8%,"$2,272,416",  3.5%,"$1,736,050","$536,366",RI,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7556,5.24,1951
31,"$151,226","$245,145",$0,  1.8%,"$411,530",St. Hubert's Animal Welfare Center,  6.2%,  9.2%, 84.5%,"$4,505,391",  9.0%,"$2,937,565","$1,567,826",NJ,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5047,5.17,1940
32,"$97,134","$382,566",$0,  1.7%,"$377,426",San Antonio Humane Society, 11.1%, 10.3%, 78.4%,"$2,923,322",  -5.2%,"$2,127,465","$795,857",TX,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6354,3.62,1962
33,"$254,545","$2,836,121",$0,  4.3%,"$2,683,476",San Diego Humane Society ,  8.7%, 13.3%, 77.9%,"$25,034,807",  7.6%,"$19,671,799","$5,363,008",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5846,2.40,1938
34,"$228,734","$2,214,312",$0,  6.0%,"$1,272,329",San Francisco SPCA,  5.7%,  4.4%, 89.7%,"$26,957,200", 17.8%,"$12,564,102","$14,393,098",CA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4434,2.50,1961
35,"$201,053","$677,038",$0,  9.3%,"$562,769",Santa Fe Animal Shelter & Humane Society, 11.2%,  8.4%, 80.3%,"$3,289,385", 11.4%,"$1,636,605","$1,652,780",NM,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9729,2.95,1941
36,"$106,169","$231,808",$0,  0.6%,"$58,484","SAVE, A Friend to Homeless Animals", 16.9%,  5.7%, 77.3%,"$731,770",  8.6%,"$623,233","$108,537",NJ,73,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13495,8.13,1967
37,"$192,845","$854,844",$0, 18.8%,"$800,883",Pasadena Humane Society & SPCA, 12.8%, 10.0%, 77.0%,"$14,119,682", 16.9%,"$10,366,232","$3,753,450",CA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8841,4.16,1939
38,"$107,492","$219,647",$0,  4.5%,"$256,074",Pasado's Safe Haven, 11.6%,  6.8%, 81.4%,"$2,044,995",  6.1%,"$1,902,149","$142,846",WA,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6634,1.70,1998
39,"$122,016","$237,639",$0,  2.2%,"$754,257",PAWS (Progressive Animal Welfare Society),  5.1%, 18.5%, 76.3%,"$5,624,030",  4.2%,"$4,931,894","$692,136",WA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5775,2.92,1967
40,"$93,507","$761,440",$0,  1.9%,"$526,584",PAWS Chicago,  5.0%,  4.9%, 89.9%,"$17,033,633", 19.4%,"$14,959,514","$2,074,119",IL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6151,3.71,1999
41,"$110,777","$404,240",$0,  1.7%,"$300,473",Paws With A Cause, 10.7%,  8.5%, 80.7%,"$3,693,496",  5.3%,"$3,693,496",$0,MI,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4307,1.39,1981
42,"$92,500","$132,284","$406,961", 25.8%,"$50,603",PAWS/LA,  9.6%,  5.2%, 85.1%,"$1,216,590",  1.0%,"$1,216,590",$0,CA,77,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11963,0.40,1996
43,"$180,777","$470,736",$0,  0.3%,"$485,536",Peggy Adams Animal Rescue League,  7.6%,  7.0%, 85.3%,"$6,257,793", 13.8%,"$4,172,360","$2,085,433",FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6301,11.49,1949
44,"$476,827","$2,109,075",$0,  6.8%,"$899,681",Peninsula Humane Society & SPCA, 16.4%,  7.6%, 75.8%,"$12,448,055",  3.5%,"$6,195,374","$6,252,681",CA,78,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11790,2.54,1954
45,"$262,403","$692,229",$0,  4.9%,"$980,069",Pennsylvania SPCA,  6.7%,  9.8%, 83.3%,"$7,921,052",  -5.5%,"$5,880,012","$2,041,040",PA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7626,1.44,1935
46,"$36,986","$631,829",$0, 16.7%,"$6,692,500",People for the Ethical Treatment of Animals,  1.5%, 14.2%, 84.2%,"$63,549,902", 10.0%,"$63,070,410","$479,492",VA,82,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4314,0.70,1981
47,"$94,011","$220,641","$5,850", 15.3%,"$216,353",New Hampshire SPCA,  9.6%,  8.8%, 81.5%,"$1,972,249",  2.4%,"$1,507,674","$464,575",NH,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5958,2.67,1972
48,"$340,227","$1,554,489",$0, 23.9%,"$5,467,824",North Shore Animal League America,  4.0%, 13.7%, 82.2%,"$38,806,976",  5.7%,"$31,800,748","$7,006,228",NY,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4239,0.97,1948
49,"$91,146","$108,790",$0,  2.0%,"$171,313",Northwest Organization for Animal Help,  7.4%,  8.2%, 84.2%,"$1,859,499",  1.4%,"$1,292,822","$566,677",WA,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9756,1.64,1988
50,"$133,567","$137,793",$0,  3.2%,"$458,975",Oklahoma Humane Society,  6.5%, 15.4%, 78.0%,"$2,732,691", 10.1%,"$1,722,662","$1,010,029",OK,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13417,1.27,2007
51,"$111,500","$462,162",$0,  2.0%,"$627,101",Operation Kindness, 12.6%, 14.9%, 72.3%,"$3,566,674", 17.9%,"$2,825,458","$741,216",TX,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5693,1.99,1984
52,"$250,469","$1,046,532",$0,  5.1%,"$2,106,980",Oregon Humane Society,  7.4%, 12.5%, 79.9%,"$14,450,579",  8.0%,"$11,554,452","$2,896,127",OR,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4278,3.22,1941
53,"$87,241","$155,643","$12,500",< 0.1%,"$225,023",Nashville Humane Association,  8.0%,  9.4%, 82.5%,"$2,543,996",  4.1%,"$2,183,956","$360,040",TN,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5610,1.66,1962
54,"$192,331","$311,038",$0,  0.7%,"$252,486",National Anti-Vivisection Society, 12.9%, 11.3%, 75.7%,"$2,217,011",  -2.5%,"$2,217,011",$0,IL,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5248,2.57,1934
55,"$148,634","$91,987",$0,< 0.1%,"$74,882",National Cat Protection Society,  6.5%,  5.2%, 88.1%,"$903,374",  6.0%,"$859,602","$43,772",CA,48,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7476,5.67,1969
56,"$84,000","$396,179",$0, 14.9%,"$560,711",National Disaster Search Dog Foundation,  7.2%, 11.0%, 81.7%,"$7,034,066", 27.2%,"$7,034,066",$0,CA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9203,4.87,1996
57,"$129,731","$240,876",$0,  7.4%,"$183,391",National Education for Assistance Dog Services,  8.7%,  7.6%, 83.5%,"$2,306,687",  1.0%,"$1,970,726","$335,961",MA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5143,2.17,1973
58,"$93,599","$316,326",$0, 45.0%,"$315,703",National Humane Education Society,  8.6%, 10.7%, 80.5%,"$3,201,063", -11.7%,"$2,656,020","$545,043",WV,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4183,0.42,1996
59,"$184,122","$747,345","$1,196,554",  2.5%,"$872,478",Nebraska Humane Society,  6.2%,  7.5%, 86.1%,"$10,528,648",  3.5%,"$4,621,473","$5,907,175",NE,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4212,2.48,1934
60,"$82,264","$223,668",$0,  3.6%,"$148,131",Nevada Humane Society,  7.2%,  2.7%, 90.0%,"$4,870,820", 12.3%,"$3,607,518","$1,263,302",NV,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9093,1.47,1953
61,"$125,177","$31,084",$0,  0.7%,"$123,501",New England Anti-Vivisection Society,  5.9%, 13.0%, 81.0%,"$468,202",  8.0%,"$468,202",$0,MA,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10713,7.95,1944
62,"$65,955","$139,754",$0, 29.6%,"$146,008",New Hampshire Humane Society, 10.9%, 13.9%, 75.0%,"$820,542",  7.1%,"$534,874","$285,668",NH,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7521,3.30,1963
63,"$29,000","$66,480",$0,  1.7%,"$34,771",Michigan Anti-Cruelty Society,  4.5%,  1.9%, 93.5%,"$1,061,885",  3.8%,"$1,025,230","$36,655",MI,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6155,2.74,1946
64,"$194,755","$474,954",$0, 15.9%,"$3,074,704",Michigan Humane Society,  3.0%, 15.7%, 81.2%,"$23,523,622",  4.5%,"$17,159,959","$6,363,663",MI,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4091,1.72,1942
65,"$104,890","$212,010",$0,  2.2%,"$459,549",Mohawk Hudson Humane Society,  7.0%, 17.1%, 75.7%,"$4,058,378",  4.6%,"$3,071,375","$987,003",NY,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6038,2.59,1942
66,"$133,803","$153,144",$0,  3.4%,"$196,753",Montgomery County Humane Society,  9.6%, 10.1%, 80.1%,"$772,802", -36.5%,"$634,793","$138,009",MD,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10852,2.56,1974
67,"$151,877","$410,405","$10,230",  0.2%,"$22,348",Montgomery County SPCA, 17.8%,  0.9%, 81.1%,"$2,678,187",  3.4%,"$2,071,474","$606,713",PA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5085,17.98,1941
68,"$446,986","$5,145,751",$0, 24.6%,"$2,953,122",MSPCA-Angell, 10.3%,  5.1%, 84.5%,"$58,252,089",  8.9%,"$19,781,971","$38,470,118",MA,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4058,0.90,1934
69,"$86,615","$120,164",$0,  4.5%,"$221,253",Muttville,  8.0%,  9.3%, 82.5%,"$2,374,942", 38.9%,"$2,365,938","$9,004",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16413,1.42,2008
70,"$86,116","$78,886",$0,  7.4%,"$855,081",Little Shelter Animal Rescue and Adoption Center,  3.0%, 34.4%, 62.5%,"$3,459,860",  4.1%,"$3,310,320","$149,540",NY,74,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4928,0.92,1933
71,"$122,415","$363,262",$0,  7.3%,"$737,982","Lollypop Farm, the Humane Society of Greater Rochester",  5.9%, 12.3%, 81.7%,"$7,172,372",  7.4%,"$6,116,301","$1,056,071",NY,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8748,3.60,1958
72,"$93,811","$639,689",$0, 24.6%,"$435,684",Longmont Humane Society, 21.0%, 13.7%, 65.2%,"$3,064,174",  9.6%,"$1,325,368","$1,738,806",CO,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11903,2.26,1974
73,"$121,503","$107,240",$0,  4.4%,"$713,148",Louisiana SPCA,  2.1%,  8.9%, 88.9%,"$6,306,088",  2.5%,"$3,168,724","$3,137,364",LA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9972,3.94,1972
74,"$59,231","$234,326",$0,  0.9%,"$55,544",Macomb County Humane Society, 32.2%, 13.3%, 54.4%,"$505,257",  8.1%,"$451,995","$53,262",MI,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6167,13.51,1983
75,"$57,500","$289,085",$0,< 0.1%,"$226,603",Main Line Animal Rescue, 11.1%,  7.5%, 81.2%,"$2,092,838",  -1.1%,"$2,092,838",$0,PA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12053,2.18,2000
76,"$185,972","$918,085","$3,193,934",  5.7%,"$629,589",The Marin Humane Society, 10.4%,  7.8%, 81.7%,"$7,973,129",  4.8%,"$7,069,264","$903,865",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8395,1.85,1950
77,"$36,599","$460,295",$0,  0.9%,"$744,033",The Maryland SPCA,  8.9%, 13.6%, 77.4%,"$4,719,722",  9.8%,"$3,107,377","$1,612,345",MD,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6251,4.42,1939
78,"$105,452","$182,952",$0,  1.0%,"$150,384",MaxFund, 12.6%,  3.0%, 84.3%,"$2,861,940", 18.3%,"$1,897,336","$964,604",CO,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5736,3.41,1990
79,"$70,440","$326,650",$0,  3.2%,"$642,634",Kansas Humane Society,  7.9%, 15.0%, 77.0%,"$3,513,803",  5.8%,"$2,370,867","$1,142,936",KS,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7057,2.18,1951
80,"$85,407","$150,112",$0,  0.1%,"$66,762",Kent Animal Shelter, 11.9%,  7.0%, 80.9%,"$937,782",  -3.0%,"$594,958","$342,824",NY,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16781,4.19,1969
81,"$125,000","$525,056",$0, 16.9%,"$468,508",Kentucky Humane Society,  9.2%,  7.8%, 82.8%,"$5,511,492",  3.5%,"$2,361,008","$3,150,484",KY,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5599,1.45,1945
82,"$110,000","$33,429",$0,  1.9%,"$167,231",Last Chance for Animals,  2.8%,  9.0%, 88.1%,"$2,421,960", 13.3%,"$2,421,960",$0,CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7494,1.06,1986
