,CEOsalary,admin_exp,gov_grant,liab_to_assets,mkting_exp,name,perc_admin_exp,perc_fundraising_exp,perc_program_exp,prog_rev,program_exp_growth,revenue,service_rev,state,tpscore,url,wking_cap_ratio,yr_founded
123,"$216,007","$684,239",$0,  8.5%,"$715,093",Houston SPCA,  8.0%,  8.2%, 83.6%,"$11,850,014",  6.4%,"$10,776,698","$1,073,316",TX,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5660,4.64,1948
124,"$116,478","$605,799",$0,  8.0%,"$578,118",Humane Animal Rescue, 13.5%, 13.6%, 72.7%,"$5,278,780",  4.7%,"$4,196,516","$1,082,264",PA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6104,3.66,1926
125,"$90,000","$256,095",$0,  2.2%,"$264,460",Humane Animal Welfare Society, 12.4%, 11.2%, 76.2%,"$2,247,226", 10.2%,"$1,388,793","$858,433",WI,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12390,3.78,1968
126,"$84,237","$65,965",$0,  2.6%,"$405,097",Humane Farming Association,  2.4%, 16.1%, 81.4%,"$2,929,397",  1.7%,"$2,929,397",$0,CA,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5634,4.70,1986
127,"$223,034","$557,185","$5,000,000",  9.6%,"$652,877",Humane Rescue Alliance,  6.4%,  7.3%, 86.2%,"$13,330,099",  8.8%,"$9,214,765","$4,115,334",DC,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5481,1.20,1937
128,"$64,001","$384,382",$0,  2.4%,"$57,812",Humane Society Calumet Area, 17.8%,  2.8%, 79.2%,"$1,313,832", 18.4%,"$865,999","$447,833",IN,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17249,6.71,1942
129,"$113,323","$474,076",$0,  9.3%,"$343,888",The Humane Society for Tacoma and Pierce County,  8.7%,  6.2%, 84.9%,"$5,182,409", 14.9%,"$3,356,778","$1,825,631",WA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5760,2.12,1942
130,"$111,562","$137,772",$0, 13.2%,"$194,911",Guide Dogs of the Desert,  7.5%, 10.0%, 82.4%,"$4,158,185",  1.4%,"$4,158,185",$0,CA,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8226,3.05,1973
131,"$315,079","$1,783,661",$0, 10.3%,"$4,088,636",Guiding Eyes for the Blind,  7.2%, 15.9%, 76.8%,"$27,751,788",  3.4%,"$27,205,488","$546,300",NY,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3786,2.59,1956
132,"$91,931","$153,528",$0,  5.0%,"$206,159",Gulf Coast Humane Society,  5.6%,  6.8%, 87.4%,"$2,442,866", 16.1%,"$659,591","$1,783,275",FL,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14160,1.31,1951
133,"$53,454","$97,019",$0, 17.2%,"$115,051",Habitat for Horses,  6.5%,  9.2%, 84.1%,"$1,371,423", 10.1%,"$1,336,673","$34,750",TX,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16649,1.37,1999
134,"$128,005","$261,070",$0,  3.2%,"$299,209","Halifax Humane Society, Inc.", 11.0%, 11.7%, 77.2%,"$2,436,102",  3.2%,"$1,296,103","$1,139,999",FL,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11401,2.49,1972
135,"$80,000","$127,274",$0,  6.7%,"$100,362",HALO Animal Rescue,  4.4%,  6.6%, 88.8%,"$2,943,297", 21.4%,"$2,055,922","$887,375",AZ,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13416,0.46,2003
136,"$168,262","$921,745",$0,  7.2%,"$676,050",Hawaiian Humane Society, 11.7%,  9.0%, 79.2%,"$11,355,789",  1.7%,"$7,447,634","$3,908,155",HI,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5894,4.19,1943
137,"$42,365","$115,167",$0,  0.7%,"$173,256",Heart of the Valley Animal Shelter,  8.4%, 12.1%, 79.3%,"$2,088,028",  5.6%,"$1,723,690","$364,338",MT,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13544,3.55,1974
138,"$71,000","$75,768",$0,  4.3%,"$117,743",Front Range Equine Rescue,  6.0%,  9.8%, 84.1%,"$1,610,971", -13.2%,"$1,609,171","$1,800",FL,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10304,1.92,1997
139,"$22,834","$350,559",$0, 51.1%,"$847,767",The Fund for Animals,  4.2%, 11.3%, 84.3%,"$6,852,874",  5.5%,"$6,814,546","$38,328",NY,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13014,0.67,1968
140,"$65,000","$58,400",$0, 25.1%,"$76,620",Furkids,  3.5%,  5.0%, 91.3%,"$1,297,989", 40.7%,"$1,023,369","$274,620",GA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16848,0.52,2003
141,"$98,375","$202,466",$0, 11.4%,"$285,393",Geauga Humane Society,  9.4%, 14.8%, 75.7%,"$2,015,866",  7.4%,"$1,728,160","$287,706",OH,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7674,2.46,1983
142,"$92,750","$372,310",$0,  8.7%,"$195,122",The Gentle Barn, 26.0%, 10.4%, 63.4%,"$1,991,804", 16.7%,"$1,739,428","$252,376",CA,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13027,0.90,2000
143,"$130,786","$182,721",$0,  1.0%,"$405,344",Grayson-Jockey Club Research Foundation,  8.5%, 18.0%, 73.4%,"$1,889,230", 12.3%,"$1,889,230",$0,KY,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5603,10.59,1942
144,"$134,282","$518,321","$831,242", 48.7%,"$644,347",Great Plains SPCA,  8.0%,  9.1%, 82.7%,"$6,360,928", 23.1%,"$4,633,745","$1,727,183",KS,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15103,0.14,2003
145,"$79,280","$91,236","$125,262",  3.6%,"$160,097",Greater Androscoggin Humane Society,  9.0%, 13.5%, 77.3%,"$1,309,188",  -0.2%,"$771,607","$537,581",ME,62,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7518,2.50,1973
146,"$74,135","$141,734",$0,  5.8%,"$239,567","Greenhill Humane Society, SPCA",  6.4%, 10.4%, 83.0%,"$2,948,946",  4.9%,"$2,127,688","$821,258",OR,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7607,1.05,1957
147,"$77,485","$185,310",$0,  0.2%,"$123,206",Griffin Pond Animal Shelter, 14.1%, 11.4%, 74.3%,"$1,270,889",  -0.5%,"$978,823","$292,066",PA,69,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14241,7.03,1957
148,"$298,009","$445,478",$0, 17.8%,"$639,542",Guide Dog Foundation for the Blind,  6.6%,  8.5%, 84.8%,"$10,534,988",  -0.7%,"$10,534,988",$0,NY,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4912,2.43,1950
149,"$268,041","$3,253,829",$0,  4.3%,"$3,887,380",Guide Dogs for the Blind,  9.7%, 10.3%, 79.9%,"$25,605,290",  4.5%,"$25,532,065","$73,225",CA,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3785,9.89,1955
150,"$46,039","$553,115",$0, 29.5%,"$393,856",Monmouth County SPCA,  9.7%,  8.0%, 82.2%,"$3,389,107",  3.0%,"$1,846,321","$1,542,786",NJ,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6044,1.43,1955
151,"$194,616","$970,981",$0,  6.4%,"$1,471,112",Farm Sanctuary,  8.8%, 14.7%, 76.3%,"$10,883,486",  4.1%,"$10,546,859","$336,627",NY,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5391,2.48,1985
152,"$239,271","$625,336",$0,  6.8%,"$414,352",Fidelco Guide Dog Foundation, 12.8%,  6.7%, 80.3%,"$4,843,063",  7.1%,"$4,741,091","$101,972",CT,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3694,2.54,1990
153,"$90,000","$112,196",$0, 11.4%,"$69,616",FixNation,  9.7%,  4.0%, 86.2%,"$1,440,222",  0.9%,"$1,141,286","$298,936",CA,75,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16923,0.29,2006
154,"$60,000","$136,931",$0,  8.4%,"$156,924",Forsyth Humane Society, 14.4%, 18.0%, 67.4%,"$3,022,990",  8.2%,"$2,896,813","$126,177",NC,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16399,5.20,1971
155,"$122,500","$109,675",$0, 28.5%,"$233,812",Freedom Service Dogs of America,  8.6%, 16.4%, 74.8%,"$3,616,623", 20.9%,"$3,594,575","$22,048",CO,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16129,3.51,1988
156,"$63,000","$93,271",$0,< 0.1%,"$150,932",Friends for Life,  8.7%, 14.4%, 76.7%,"$1,021,901", 12.1%,"$972,674","$49,227",TX,74,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16410,5.62,2002
157,"$113,904","$327,597",$0,  6.2%,"$195,168",Friends of Animals,  5.7%,  3.8%, 90.3%,"$4,558,058",  2.6%,"$2,705,371","$1,852,687",CT,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3730,0.96,1959
158,"$71,929","$104,919",$0,  1.3%,"$138,767",Elmbrook Humane Society, 14.5%, 10.9%, 74.5%,"$946,325",  6.4%,"$650,815","$295,510",WI,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7012,7.68,1966
159,"$59,800","$157,717",$0,  0.6%,"$192,090",Equine Advocates,  7.6%, 12.1%, 80.1%,"$1,148,522",  0.8%,"$1,148,522",$0,NY,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12754,2.58,1996
160,"$124,300","$77,968",$0,  9.5%,"$87,466",Española Valley Humane Society,  5.1%,  6.2%, 88.6%,"$1,583,170", 12.0%,"$1,276,232","$306,938",NM,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7366,0.55,1993
161,"$95,246","$71,972",$0,  3.9%,"$175,617",FACT,  7.7%, 15.3%, 76.8%,"$508,698",  -4.4%,"$475,227","$33,471",IL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6954,1.15,1982
162,"$105,786","$108,168",$0,  8.4%,"$50,559","ECAD, Educated Canines Assisting with Disabilities",  8.4%,  4.7%, 86.8%,"$1,055,496",  1.9%,"$884,002","$171,494",CT,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13146,0.55,1996
163,"$38,846","$175,096",$0, 22.0%,"$159,368",Humane Society of Greater Kansas City,  8.4%,  8.2%, 83.3%,"$2,400,674",  4.5%,"$1,444,043","$956,631",KS,78,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7058,0.64,1935
164,"$121,610","$390,100","$12,800",  9.1%,"$789,281",Humane Society of Tampa Bay,  4.6%,  8.5%, 86.7%,"$6,908,185", 10.1%,"$2,638,641","$4,269,544",FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5560,0.75,1972
165,"$76,534","$164,618",$0,  0.9%,"$27,019",League for Animal Welfare, 12.3%,  2.3%, 85.3%,"$987,648",  8.3%,"$898,934","$88,714",OH,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8112,5.02,1958
166,"$76,321","$159,020",$0, 37.6%,"$64,186",Days End Farm Horse Rescue, 10.4%,  3.9%, 85.6%,"$1,621,663",  5.1%,"$1,497,638","$124,025",MD,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7127,0.94,1992
167,"$157,937","$79,581",$0,  1.2%,"$91,323",Defenders of Animal Rights,  6.6%,  7.4%, 85.9%,"$3,063,104",  3.0%,"$3,025,904","$37,200",MD,74,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7085,7.61,1976
168,"$90,000","$161,407",$0, 23.8%,"$209,534",Delaware Humane Association, 11.2%, 14.5%, 74.2%,"$1,488,393",  8.1%,"$1,140,508","$347,885",DE,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8957,3.44,1958
169,"$110,000","$182,203",$0,  2.5%,"$117,515",Delaware Valley Golden Retriever Rescue, 15.4%,  9.3%, 75.1%,"$1,323,932",  5.7%,"$1,049,182","$274,750",PA,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14168,1.43,1995
170,"$123,871","$246,172",$0,  1.0%,"$273,098",Dogs for Better Lives,  7.3%, 12.8%, 79.7%,"$1,749,919",  5.7%,"$1,747,792","$2,127",OR,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5781,6.31,1977
171,"$246,301","$1,139,640",$0, 29.8%,"$416,782",DoveLewis Emergency Animal Hospital,  7.8%,  4.2%, 87.8%,"$12,063,646",  8.2%,"$1,763,793","$10,299,853",OR,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12512,0.67,1975
172,"$80,000","$112,524",$0,  0.6%,"$102,647",Dubuque Regional Humane Society, 10.0%,  9.6%, 80.2%,"$528,545",  4.9%,"$200,955","$327,590",IA,82,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14181,4.89,1991
173,"$302,320","$1,418,750",$0,  2.7%,"$2,463,940",Dumb Friends League,  8.1%, 13.0%, 78.8%,"$14,069,232",  4.7%,"$12,195,279","$1,873,953",CO,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610,4.02,1942
174,"$41,686","$462,033",$0, 19.7%,"$113,929",Dutchess County SPCA, 13.6%,  7.6%, 78.6%,"$1,252,903",  4.5%,"$748,227","$504,676",NY,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764,3.16,1963
175,"$253,299","$770,378",$0, 29.2%,"$703,758",East Bay SPCA,  8.2%,  8.9%, 82.7%,"$7,742,072", 14.1%,"$4,130,518","$3,611,554",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4250,2.61,1957
176,"$73,430","$220,813",$0,  0.7%,"$82,694",Champaign County Humane Society, 20.1%,  7.8%, 72.0%,"$710,938",  6.1%,"$555,771","$155,167",IL,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5283,3.62,1955
177,"$132,650","$167,975","$1,311,005",  3.0%,"$997,156",Charleston Animal Society,  2.7%, 14.1%, 83.0%,"$5,956,108", 14.8%,"$4,844,320","$1,111,788",SC,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7195,3.02,1965
178,"$110,389","$284,403",$0, 20.1%,"$263,685",Charlottesville-Albemarle SPCA,  7.6%,  6.1%, 86.2%,"$5,028,840",  6.5%,"$3,246,029","$1,782,811",VA,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14161,3.00,1957
179,"$60,000","$244,838",$0, 19.0%,"$301,288",Citizens for Animal Protection,  8.4%,  9.0%, 82.5%,"$2,681,818",  6.8%,"$2,681,818",$0,TX,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6090,2.10,1973
180,"$138,083","$228,419",$0,  1.2%,"$690,067",Cleveland Animal Protective League,  5.5%, 16.6%, 77.8%,"$3,962,447",  8.4%,"$3,050,115","$912,332",OH,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5218,2.95,1948
181,"$173,377","$910,616",$0,  0.4%,"$726,558",Connecticut Humane Society, 11.5%,  7.6%, 80.8%,"$5,564,193",  7.3%,"$3,503,605","$2,060,588",CT,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10714,8.57,1933
182,"$54,370","$31,403",$0,  0.6%,"$54,855",Coulee Region Humane Society,  2.2%,  5.7%, 92.0%,"$1,211,612",  3.6%,"$668,725","$542,887",WI,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9447,4.65,1974
183,"$95,972","$331,361",$0,  3.0%,"$479,477",Dane County Humane Society,  9.5%, 14.1%, 76.2%,"$3,965,056",  -0.1%,"$2,778,301","$1,186,755",WI,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5311,1.86,1965
